Designator,Mid X,Mid Y,Rotation,Layer
C1,17.12,-69.759375,90.0,top
C2,9.5,-58.62,270.0,top
C3,3.55,-58.62,270.0,top
C4,1.84,-69.759375,270.0,top
C5,15.45,-58.62,270.0,top
D1,15.84,-80.09,180.0,top
D2,1.93,-38.91,270.0,top
D3,17.070002,-38.91,90.0,top
D4,17.2,-28.01,270.0,top
D5,17.2,-33.21,270.0,top
R1,14.710001,-38.275,0.0,top
R10,14.710001,-39.545,180.0,top
R11,4.29,-40.815,0.0,top
R12,2.02,-19.805,0.0,top
R13,4.29,-19.805,0.0,top
R16,14.710001,-18.535,0.0,top
R2,8.930001,-94.309999,90.0,top
R3,10.2,-94.309999,90.0,top
R4,4.78,-18.09,90.0,top
R5,9.500001,-92.507477,180.0,top
R6,3.0,-17.75,270.0,top
R7,4.29,-38.275,0.0,top
R8,4.73,-36.495001,90.0,top
S2,13.845002,-92.507477,180.0,top
S3,5.155001,-92.507477,180.0,top
SV1,9.5,-85.0,180.0,bottom
U$1,4.821667,-103.7075,0.0,top
U$2,14.178334,-103.7075,0.0,top
U1,9.5,-17.9,90.0,top
U2,9.5,-38.91,90.0,top
VR1,9.5,-8.997375,90.0,top
VR2,9.5,-30.418041,90.0,top
VR3,9.5,-73.259375,90.0,top
